CN	Name	Rarity	Normal	Foil	Etched Foil	Borderless	Borderless Foil	Textured Foil
100	Abbot of Keral Keep	R	0.23	1.99	14.99	-	-	-
165	Abzan Ascendancy	R	0.86	0.99	14.99	-	-	-
166	Abzan Charm	U	0.23	1.99	-	-	-	-
4	Abzan Falconer	U	0.25	1.99	-	-	-	-
36	Advanced Stitchwing	C	0.2	0.19	-	-	-	-
298	Aether Vial	R	17.92	31.99	199.99	50.0	199.99	-
167	Aethermage's Touch	R	0.47	1.99	-	-	-	-
37	Aethersnipe	C	0.2	0.19	-	-	-	-
168	Agony Warp	C	0.09	0.29	-	-	-	-
5	Ainok Bond-Kin	C	0.2	0.19	-	-	-	-
101	Alesha, Who Smiles at Death	R	0.17	2.47	14.99	-	-	-
132	Allosaurus Shepherd	M	28.35	120.0	139.99	59.49	150.0	-
133	Ambuscade	C	0.09	0.19	-	-	-	-
169	Aminatou, the Fateshifter	M	3.97	14.0	20.0	-	-	-
102	Anger of the Gods	R	0.92	2.97	39.99	6.97	49.99	-
170	Anguished Unmaking	R	4.94	8.99	34.99	-	-	-
171	Animar, Soul of Elements	M	7.19	75.0	80.0	-	-	-
134	Annoyed Altisaur	C	0.19	0.19	-	-	-	-
6	Anointer of Valor	C	0.09	0.24	-	-	-	-
135	Arachnus Spinner	U	0.19	0.49	-	-	-	-
136	Arachnus Web	C	0.14	0.49	-	-	-	-
172	Arjun, the Shifting Flame	R	1.99	39.99	29.99	-	-	-
38	As Foretold	M	6.61	18.99	30.0	-	-	-
173	Ashen Rider	R	0.44	9.99	19.99	-	-	-
174	Ashenmoor Liege	R	2.96	27.99	34.99	-	-	-
175	Assassin's Trophy	R	7.97	17.99	94.99	29.98	89.99	-
176	Atarka's Command	R	0.99	3.97	14.99	-	-	-
177	Atla Palani, Nest Tender	R	0.94	49.99	24.99	-	-	-
178	Auger Spree	C	0.09	0.09	-	-	-	-
179	Aurelia, the Warleader	M	18.99	39.99	80.0	-	-	-
39	Aven Initiate	C	0.09	0.09	-	-	-	-
318	Azorius Chancery	U	0.25	0.79	-	4.97	13.99	-
103	Backdraft Hellkite	R	0.94	39.99	29.99	-	-	-
180	Balefire Liege	R	2.22	14.99	24.98	-	-	-
68	Balustrade Spy	C	0.2	0.24	-	-	-	-
181	Bant Charm	U	0.15	2.73	-	-	-	-
7	Battlefield Promotion	C	0.09	0.14	-	-	-	-
182	Bear's Companion	U	0.09	0.49	-	-	-	-
104	Bedlam Reveler	R	0.49	1.99	14.99	-	-	-
137	Biogenic Upgrade	U	0.1	0.39	-	-	-	-
69	Bitterblossom	M	24.98	79.99	139.99	-	-	-
183	Blazing Hellhound	U	0.08	0.24	-	-	-	-
70	Blood Artist	U	2.48	11.99	-	7.97	18.99	-
184	Bloodbraid Elf	U	0.48	2.98	-	11.98	12.98	-
71	Bloodflow Connoisseur	C	0.15	0.49	-	-	-	-
299	Bloodforged Battle-Axe	R	9.96	39.99	79.99	30.0	80.0	-
185	Bloodwater Entity	C	0.25	0.74	-	-	-	-
138	Bloom Tender	R	15.95	394.99	94.99	27.96	494.99	-
186	Boartusk Liege	R	4.98	13.99	39.99	-	-	-
40	Body Double	U	1.25	14.98	-	-	-	-
319	Boros Garrison	U	0.25	0.99	-	7.17	13.98	-
187	Bounty of the Luxa	U	0.19	0.99	-	-	-	-
41	Breakthrough	U	0.14	4.48	-	-	-	-
139	Brindle Shoat	C	0.2	4.99	-	-	-	-
188	Bring to Light	R	0.99	9.99	9.99	-	-	-
189	Burning-Tree Emissary	C	0.28	0.54	-	3.96	15.97	-
190	Call to the Feast	C	0.14	0.84	-	-	-	-
42	Capture Sphere	C	0.09	0.24	-	-	-	-
72	Carrier Thrall	C	0.09	0.44	-	-	-	-
191	Cartel Aristocrat	C	0.23	1.24	-	-	-	-
320	Cavern of Souls	M	64.14	146.99	144.99	94.98	194.99	-
140	Centaur Battlemaster	U	0.14	0.24	-	-	-	-
105	Chaos Warp	R	1.21	8.99	69.99	19.04	69.99	-
192	Child of Alara	R	9.93	39.99	39.99	-	-	-
193	Chronicler of Heroes	C	0.09	0.19	-	-	-	-
321	City of Brass	R	12.91	169.99	244.99	24.99	244.99	-
300	Civic Saber	U	0.07	0.24	-	-	-	-
194	Coiling Oracle	C	0.1	0.29	-	3.96	8.99	-
301	Coldsteel Heart	U	2.47	29.99	-	-	-	-
195	Conclave Mentor	U	0.98	1.99	-	-	-	-
141	Concordant Crossroads	M	30.19	79.99	149.99	44.99	149.99	-
302	Conqueror's Flail	R	10.93	30.0	24.99	-	-	-
43	Consecrated Sphinx	M	34.16	79.99	149.99	46.66	149.99	-
196	Crackling Doom	U	0.24	2.98	-	-	-	-
197	Creakwood Liege	R	4.98	13.99	14.99	-	-	-
303	Crucible of Worlds	M	23.99	41.99	179.99	67.65	179.99	-
332	Cryptic Spires	L	3.41	0.0	-	-	-	-
198	Dack's Duplicate	R	2.89	11.99	10.0	-	-	-
73	Damnation	R	18.62	33.99	179.99	44.23	119.99	-
106	Dark-Dweller Oracle	C	0.19	1.99	-	-	-	-
304	Darksteel Plate	R	9.78	37.99	49.99	-	-	-
199	Dauntless Escort	R	1.38	2.47	24.99	-	-	-
142	Deadly Recluse	C	0.14	1.99	-	-	-	-
200	Deathbringer Liege	R	1.97	19.99	19.99	-	-	-
44	Deep Analysis	C	0.2	0.49	-	-	-	-
45	Deranged Assistant	C	0.04	0.14	-	-	-	-
143	Devoted Druid	U	1.98	9.49	-	-	-	-
322	Dimir Aqueduct	U	0.25	1.99	-	4.99	14.98	-
46	Disciple of the Ring	M	0.45	2.97	19.99	-	-	-
74	Disfigure	C	0.09	0.24	-	-	-	-
8	Divine Visitation	M	9.97	15.98	39.99	-	-	-
107	Dockside Extortionist	M	48.31	195.0	168.0	91.99	173.0	-
47	Domestication	U	0.13	0.24	-	-	-	-
9	Doomed Traveler	C	0.1	0.29	-	-	-	-
201	Doran, the Siege Tower	R	2.69	9.99	79.99	-	-	-
305	Dragon Arch	U	1.98	4.99	-	-	-	-
202	Dragonlord Dromoka	M	17.19	59.99	59.99	0.0	199.99	-
203	Dragonlord Silumgar	M	5.92	34.99	34.99	-	-	-
108	Dreamshaper Shaman	U	0.13	0.24	-	-	-	-
204	Dreg Mangler	C	0.19	0.24	-	-	-	-
205	Drogskol Reaver	R	7.92	39.99	79.99	-	-	-
206	Dromoka's Command	R	0.95	2.97	14.99	-	-	-
48	Eel Umbra	C	0.15	0.49	-	-	-	-
207	Elenda, the Dusk Rose	M	13.79	37.99	49.98	29.12	54.99	-
208	Elsha of the Infinite	R	2.25	2.97	29.99	-	-	-
144	Elvish Rejuvenator	C	0.35	0.34	-	-	-	-
10	Emiel the Blessed	M	7.97	99.99	119.99	39.99	119.99	-
209	Empyrial Archangel	R	1.75	19.99	79.99	-	-	-
1	Emrakul, the Aeons Torn	M	28.28	49.99	219.99	65.66	199.99	594.99
145	Eternal Witness	U	2.73	7.99	-	14.32	21.95	-
146	Experiment One	C	0.4	1.49	-	-	-	-
210	Extract from Darkness	U	0.15	0.49	-	-	-	-
75	Eyeblight's Ending	C	0.19	0.24	-	-	-	-
211	Ezuri, Claw of Progress	M	5.48	39.99	15.0	-	-	-
109	Fiery Fall	C	0.09	0.24	-	-	-	-
212	Fiery Justice	R	0.89	7.99	9.99	-	-	-
213	Figure of Destiny	R	0.89	1.74	14.99	-	-	-
214	Fireblade Artist	C	0.19	0.29	-	-	-	-
306	Firemind Vessel	U	0.28	1.49	-	-	-	-
215	Firesong and Sunspeaker	R	0.0	0.0	0.0	-	-	-
11	Flickerwisp	U	0.09	0.74	-	4.95	48.98	-
147	Food Chain	M	37.1	114.99	114.99	-	-	-
49	Forbidden Alchemy	C	0.09	0.24	-	-	-	-
323	Forbidden Orchard	R	11.96	29.99	199.99	29.99	199.99	-
50	Force of Negation	R	42.66	87.99	174.99	117.84	174.99	-
216	Ghave, Guru of Spores	M	2.69	79.99	0.0	-	-	-
51	Gifts Ungiven	R	2.09	9.99	19.99	9.99	149.99	-
217	Glen Elendra Liege	R	2.23	23.99	29.99	-	-	-
218	Glimpse the Unthinkable	R	5.24	9.99	40.0	12.97	79.99	-
219	Gloryscale Viashino	U	0.1	0.34	-	-	-	-
220	Glowspore Shaman	C	0.1	0.44	-	-	-	-
148	Gnarlback Rhino	C	0.4	4.99	-	-	-	-
76	Go for the Throat	U	0.74	9.98	-	-	-	-
110	Goblin Banneret	U	0.09	0.24	-	-	-	-
12	Gods Willing	C	0.2	0.19	-	-	-	-
324	Golgari Rot Farm	U	0.2	1.49	-	8.99	10.95	-
221	Grand Arbiter Augustin IV	R	9.7	59.99	49.99	0.0	119.99	-
149	Grapple with the Past	C	0.21	2.48	-	-	-	-
77	Graveblade Marauder	U	0.19	0.39	-	-	-	-
78	Gravecrawler	R	7.11	19.99	49.99	-	-	-
111	Greater Gargadon	R	0.89	2.47	14.99	-	-	-
150	Green Sun's Zenith	R	17.25	39.99	44.99	-	-	-
222	Grim Flayer	R	2.98	8.49	79.99	25.39	79.99	-
223	Ground Assault	C	0.09	0.14	-	-	-	-
325	Gruul Turf	U	0.25	3.98	-	11.74	16.98	-
224	Guided Passage	R	0.94	29.99	-	-	-	-
151	Hardened Scales	R	6.05	12.94	33.99	60.0	58.99	-
225	Hellkite Overlord	M	2.49	13.99	48.99	-	-	-
112	Hero of the Games	C	0.19	0.19	-	-	-	-
226	Heroic Reinforcements	U	0.09	0.49	-	-	-	-
113	Hissing Iguanar	C	0.1	0.24	-	-	-	-
227	Hostage Taker	R	0.44	3.94	47.99	-	-	-
228	Hydroid Krasis	R	5.86	16.99	57.99	-	-	-
13	Hyena Umbra	C	0.33	0.98	-	-	-	-
79	Imperial Seal	M	344.43	799.9	1899.9	549.6	1899.9	-
152	Impervious Greatwurm	R	2.89	8.99	38.99	-	-	-
52	Ingenious Skaab	C	0.19	0.19	-	-	-	-
80	Inquisition of Kozilek	U	1.98	12.49	-	9.73	18.99	-
229	Intet, the Dreamer	R	1.29	33.99	57.99	-	-	-
