CN	Name	Rarity	Normal	Foil	Etched Foil	Borderless	Borderless Foil	Textured Foil
100	Abbot of Keral Keep	R	0.25	1.95	1.95	-	-	-
165	Abzan Ascendancy	R	0.8	0.75	14.9	-	-	-
166	Abzan Charm	U	0.0	2.0	-	-	-	-
4	Abzan Falconer	U	0.25	2.0	-	-	-	-
36	Advanced Stitchwing	C	0.2	0.18	-	-	-	-
298	Aether Vial	R	17.9	31.75	99.9	50.0	99.9	-
167	Aethermage's Touch	R	0.4	1.99	-	-	-	-
37	Aethersnipe	C	0.2	0.18	-	-	-	-
168	Agony Warp	C	0.0	0.98	-	-	-	-
5	Ainok Bond-Kin	C	0.2	0.18	-	-	-	-
101	Alesha, Who Smiles at Death	R	0.13	2.4	14.9	-	-	-
132	Allosaurus Shepherd	M	29.79	95.0	119.95	58.59	119.95	-
133	Ambuscade	C	0.48	0.18	-	-	-	-
169	Aminatou, the Fateshifter	M	3.89	5.95	18.5	-	-	-
102	Anger of the Gods	R	0.89	2.9	7.95	3.98	9.95	-
170	Anguished Unmaking	R	4.9	8.9	17.95	-	-	-
171	Animar, Soul of Elements	M	7.39	44.95	70.0	-	-	-
134	Annoyed Altisaur	C	0.19	0.18	-	-	-	-
6	Anointer of Valor	C	0.09	0.98	-	-	-	-
135	Arachnus Spinner	U	0.76	0.48	-	-	-	-
136	Arachnus Web	C	0.48	0.98	-	-	-	-
172	Arjun, the Shifting Flame	R	1.99	7.95	27.0	-	-	-
38	As Foretold	M	6.49	17.5	27.5	-	-	-
173	Ashen Rider	R	0.0	2.95	18.75	-	-	-
174	Ashenmoor Liege	R	2.91	26.0	33.0	-	-	-
175	Assassin's Trophy	R	7.97	14.95	88.0	28.74	59.95	-
176	Atarka's Command	R	0.91	3.9	13.0	-	-	-
177	Atla Palani, Nest Tender	R	0.91	45.0	4.95	-	-	-
178	Auger Spree	C	0.0	0.08	-	-	-	-
179	Aurelia, the Warleader	M	17.99	24.95	0.0	-	-	-
39	Aven Initiate	C	0.48	0.08	-	-	-	-
318	Azorius Chancery	U	0.25	0.78	-	4.73	7.95	-
103	Backdraft Hellkite	R	0.94	9.95	19.95	-	-	-
180	Balefire Liege	R	2.22	13.0	7.95	-	-	-
68	Balustrade Spy	C	0.2	0.98	-	-	-	-
181	Bant Charm	U	0.15	2.74	-	-	-	-
7	Battlefield Promotion	C	0.48	0.13	-	-	-	-
182	Bear's Companion	U	0.09	0.48	-	-	-	-
104	Bedlam Reveler	R	0.45	1.7	13.0	-	-	-
137	Biogenic Upgrade	U	0.1	0.38	-	-	-	-
69	Bitterblossom	M	24.88	74.0	130.0	-	-	-
183	Blazing Hellhound	U	0.68	0.23	-	-	-	-
70	Blood Artist	U	2.48	4.95	-	7.63	9.95	-
184	Bloodbraid Elf	U	0.74	1.95	-	11.98	9.95	-
71	Bloodflow Connoisseur	C	0.15	0.98	-	-	-	-
299	Bloodforged Battle-Axe	R	9.04	19.95	70.0	30.0	64.95	-
185	Bloodwater Entity	C	0.25	1.3	-	-	-	-
138	Bloom Tender	R	15.47	39.95	85.0	27.48	79.95	-
186	Boartusk Liege	R	4.86	12.0	37.0	-	-	-
40	Body Double	U	1.24	2.95	-	-	-	-
319	Boros Garrison	U	0.25	1.0	-	6.03	2.95	-
187	Bounty of the Luxa	U	0.19	0.95	-	-	-	-
41	Breakthrough	U	0.0	1.95	-	-	-	-
139	Brindle Shoat	C	0.2	4.0	-	-	-	-
188	Bring to Light	R	0.99	8.75	5.95	-	-	-
189	Burning-Tree Emissary	C	0.0	0.95	-	3.96	5.95	-
190	Call to the Feast	C	0.0	0.95	-	-	-	-
42	Capture Sphere	C	0.48	0.98	-	-	-	-
72	Carrier Thrall	C	0.09	0.75	-	-	-	-
191	Cartel Aristocrat	C	0.23	0.95	-	-	-	-
320	Cavern of Souls	M	64.14	125.0	125.0	90.98	174.95	-
140	Centaur Battlemaster	U	0.14	0.23	-	-	-	-
105	Chaos Warp	R	1.02	7.0	29.95	18.59	49.95	-
192	Child of Alara	R	9.84	12.95	37.0	-	-	-
193	Chronicler of Heroes	C	0.09	0.18	-	-	-	-
321	City of Brass	R	13.23	150.0	149.95	23.88	149.95	-
300	Civic Saber	U	0.07	0.23	-	-	-	-
194	Coiling Oracle	C	0.1	0.95	-	3.96	1.95	-
301	Coldsteel Heart	U	2.47	7.95	-	-	-	-
195	Conclave Mentor	U	0.98	1.25	-	-	-	-
141	Concordant Crossroads	M	30.15	70.0	129.95	42.49	139.95	-
302	Conqueror's Flail	R	8.81	24.95	22.0	-	-	-
43	Consecrated Sphinx	M	31.74	70.0	119.95	41.33	119.95	-
196	Crackling Doom	U	0.24	0.95	-	-	-	-
197	Creakwood Liege	R	4.65	12.0	12.95	-	-	-
303	Crucible of Worlds	M	23.68	38.0	150.0	67.65	150.0	-
332	Cryptic Spires	L	3.41	0.0	-	-	-	-
198	Dack's Duplicate	R	2.87	3.95	9.25	-	-	-
73	Damnation	R	18.64	30.0	150.0	42.99	99.95	-
106	Dark-Dweller Oracle	C	0.19	0.95	-	-	-	-
304	Darksteel Plate	R	9.29	24.95	39.95	-	-	-
199	Dauntless Escort	R	1.2	1.45	7.95	-	-	-
142	Deadly Recluse	C	0.48	2.0	-	-	-	-
200	Deathbringer Liege	R	1.97	17.0	17.0	-	-	-
44	Deep Analysis	C	0.2	0.98	-	-	-	-
45	Deranged Assistant	C	0.48	0.13	-	-	-	-
143	Devoted Druid	U	1.98	8.9	-	-	-	-
322	Dimir Aqueduct	U	0.25	2.0	-	4.39	3.95	-
46	Disciple of the Ring	M	0.45	1.45	17.0	-	-	-
74	Disfigure	C	0.48	0.98	-	-	-	-
8	Divine Visitation	M	10.07	15.98	29.95	-	-	-
107	Dockside Extortionist	M	48.31	175.0	169.0	91.99	169.75	-
47	Domestication	U	0.0	0.23	-	-	-	-
9	Doomed Traveler	C	0.1	0.98	-	-	-	-
201	Doran, the Siege Tower	R	2.86	8.5	19.95	-	-	-
305	Dragon Arch	U	2.09	4.95	-	-	-	-
202	Dragonlord Dromoka	M	16.56	39.95	50.0	0.0	149.95	-
203	Dragonlord Silumgar	M	5.87	30.0	30.0	-	-	-
108	Dreamshaper Shaman	U	0.68	0.23	-	-	-	-
204	Dreg Mangler	C	0.19	0.98	-	-	-	-
205	Drogskol Reaver	R	7.86	24.95	70.0	-	-	-
206	Dromoka's Command	R	0.95	2.5	13.0	-	-	-
48	Eel Umbra	C	0.15	0.98	-	-	-	-
207	Elenda, the Dusk Rose	M	13.77	19.95	49.98	29.44	45.0	-
208	Elsha of the Infinite	R	2.25	1.45	25.0	-	-	-
144	Elvish Rejuvenator	C	0.35	0.98	-	-	-	-
10	Emiel the Blessed	M	7.83	85.0	94.95	0.0	99.95	-
209	Empyrial Archangel	R	1.59	17.0	9.95	-	-	-
1	Emrakul, the Aeons Torn	M	28.0	40.0	175.0	65.66	150.0	550.0
145	Eternal Witness	U	2.73	7.45	-	14.32	19.95	-
146	Experiment One	C	0.39	1.25	-	-	-	-
210	Extract from Darkness	U	0.15	0.48	-	-	-	-
75	Eyeblight's Ending	C	0.48	0.98	-	-	-	-
211	Ezuri, Claw of Progress	M	5.3	14.95	13.0	-	-	-
109	Fiery Fall	C	0.48	0.98	-	-	-	-
212	Fiery Justice	R	0.7	7.5	1.45	-	-	-
213	Figure of Destiny	R	0.0	0.95	1.95	-	-	-
214	Fireblade Artist	C	0.19	0.98	-	-	-	-
306	Firemind Vessel	U	0.28	0.95	-	-	-	-
215	Firesong and Sunspeaker	R	0.0	0.0	0.0	-	-	-
11	Flickerwisp	U	0.68	0.95	-	4.95	19.95	-
147	Food Chain	M	35.23	90.0	90.0	-	-	-
49	Forbidden Alchemy	C	0.48	0.98	-	-	-	-
323	Forbidden Orchard	R	11.69	24.95	149.99	0.0	149.95	-
50	Force of Negation	R	40.34	75.0	124.95	114.43	125.0	-
216	Ghave, Guru of Spores	M	2.48	9.95	0.0	-	-	-
51	Gifts Ungiven	R	2.09	7.95	14.95	9.99	49.95	-
217	Glen Elendra Liege	R	2.1	7.95	25.0	-	-	-
218	Glimpse the Unthinkable	R	4.95	8.0	35.0	12.97	59.95	-
219	Gloryscale Viashino	U	0.1	0.33	-	-	-	-
220	Glowspore Shaman	C	0.1	0.98	-	-	-	-
148	Gnarlback Rhino	C	0.4	5.0	-	-	-	-
76	Go for the Throat	U	0.82	7.95	-	-	-	-
110	Goblin Banneret	U	0.68	0.23	-	-	-	-
12	Gods Willing	C	0.2	0.18	-	-	-	-
324	Golgari Rot Farm	U	0.19	1.5	-	8.27	7.95	-
221	Grand Arbiter Augustin IV	R	8.83	50.0	41.95	13.78	79.95	-
149	Grapple with the Past	C	0.48	2.49	-	-	-	-
77	Graveblade Marauder	U	0.76	0.38	-	-	-	-
78	Gravecrawler	R	6.05	17.0	40.0	-	-	-
111	Greater Gargadon	R	0.0	0.95	3.95	-	-	-
150	Green Sun's Zenith	R	16.25	35.0	37.95	-	-	-
222	Grim Flayer	R	2.74	3.95	70.0	0.0	19.95	-
223	Ground Assault	C	0.0	0.13	-	-	-	-
325	Gruul Turf	U	0.25	3.99	-	10.39	9.95	-
